username,restaurant_name,email,password,FirstName,LastName
le1471,Le 147,le1471@gmail.com,1215894998,,
lesaintjouvent1,Le Saint Jouvent,lesaintjouvent1@gmail.com,-1248087181,,
auboutdupont1,Au Bout du Pont,auboutdupont1@gmail.com,-1183797000,,
lerelaisdenaiade1,Le Relais de Naiade,lerelaisdenaiade1@gmail.com,1243390638,,
relaisdumontseigne1,Relais Du MontSeigne,relaisdumontseigne1@gmail.com,-417367754,,
l'aubergeduvieuxcrozet1,L'Auberge Du Vieux Crozet,l'aubergeduvieuxcrozet1@gmail.com,-414034289,,
caferestaurantnoulou1,Cafe Restaurant NouLou,caferestaurantnoulou1@gmail.com,530916264,,
l'entre21,L'entre 2,l'entre21@gmail.com,-1389327055,,
nostecourtiu1,Noste Courtiu,nostecourtiu1@gmail.com,2052272149,,
chezclaudine1,Chez Claudine,chezclaudine1@gmail.com,616024563,,
lepetitcampagnard1,Le Petit Campagnard,lepetitcampagnard1@gmail.com,-411797824,,
chezjiji1,Chez Jiji,chezjiji1@gmail.com,-415937967,,
angkor1,Angkor,angkor1@gmail.com,-1162680783,,
l'original's1,L'Original'S,l'original's1@gmail.com,1390444283,,
l'improrestaurant1,L'Impro Restaurant,l'improrestaurant1@gmail.com,470999835,,
pietrafocirocbaron1,Pietra Foci Rocbaron,pietrafocirocbaron1@gmail.com,614949209,,
tiptoppizza1,Tip top pizza,tiptoppizza1@gmail.com,-2078273747,,
l'antidote1,L'Antidote,l'antidote1@gmail.com,-1306773188,,
laterrasse1,La terrasse,laterrasse1@gmail.com,-419335782,,
caferestaurantlepapareil1,Cafe Restaurant le Papareil,caferestaurantlepapareil1@gmail.com,587095275,,
l'ardoisier1,L'ardoisier,l'ardoisier1@gmail.com,1393393345,,
espritsushirocbaron1,Esprit Sushi Rocbaron,espritsushirocbaron1@gmail.com,532762598,,
meuricechristophe1,Meurice Christophe,meuricechristophe1@gmail.com,-1934800948,,
lacrepedanslebec1,La Crepe Dans Le Bec,lacrepedanslebec1@gmail.com,640063736,,
aubergedel'abbaye1,Auberge de l'Abbaye,aubergedel'abbaye1@gmail.com,-1444593169,,
l'antredecloches1,L'Antre de Cloches,l'antredecloches1@gmail.com,1446987601,,
lacrêpedanslebec1,La Crêpe dans le Bec,lacrêpedanslebec1@gmail.com,-1216298020,,
restaurantdelatour1,Restaurant de la Tour,restaurantdelatour1@gmail.com,2073640020,,
l'archange1,L'ARCHANGE,l'archange1@gmail.com,329494330,,
restaurantalpazur1,Restaurant Alpazur,restaurantalpazur1@gmail.com,327406070,,
gagnieredavid1,Gagniere David,gagnieredavid1@gmail.com,725980074,,
lec21,Le C2,lec21@gmail.com,496772923,,
theesconda1,The Esconda,theesconda1@gmail.com,2130061222,,
relaisdes2cols1,Relais des 2 Cols,relaisdes2cols1@gmail.com,-418553649,,
francescocimaz1,Francesco Cimaz,francescocimaz1@gmail.com,675221921,,
hotellacledeschamps1,Hotel La Cle des Champs,hotellacledeschamps1@gmail.com,530080386,,
lavanoise1,La Vanoise,lavanoise1@gmail.com,-1159814252,,
aux2mousses1,Aux 2 mousses,aux2mousses1@gmail.com,1329663664,,
pizzeriala181,Pizzeria la 18,pizzeriala181@gmail.com,-2134670124,,
vr171,VR 17,vr171@gmail.com,390326743,,
mariusetjosephine1,Marius et Josephine,mariusetjosephine1@gmail.com,1473558065,,
lestipisdecrevecoeur1,Les Tipis De Creve Coeur,lestipisdecrevecoeur1@gmail.com,1107541013,,
l'atelierdessaveurs1,L'atelier des Saveurs,l'atelierdessaveurs1@gmail.com,1248426680,,
lemalamot1,Le Malamot,lemalamot1@gmail.com,586557232,,
lenapoléon1,Le Napoléon,lenapoléon1@gmail.com,-355579169,,
labambiche1,La Bambiche,labambiche1@gmail.com,1078917441,,
lehott1,Le Hott,lehott1@gmail.com,2078073204,,
restaurantlesavoie1,Restaurant Le Savoie,restaurantlesavoie1@gmail.com,1307382010,,
lerelaisducoldumontcenis1,Le relais du Col du Mont Cenis,lerelaisducoldumontcenis1@gmail.com,-1127616967,,
lapeaudevache1,La Peau de Vache,lapeaudevache1@gmail.com,-1269180075,,
ristorantehotelgranscala1,Ristorante Hotel Gran Scala,ristorantehotelgranscala1@gmail.com,-1241298182,,
alafrontieredessaveurs1,A la Frontiere des Saveurs,alafrontieredessaveurs1@gmail.com,385740698,,
lavieilleposte1,La Vieille Poste,lavieilleposte1@gmail.com,643854098,,
lesrochesblanches1,les roches blanches,lesrochesblanches1@gmail.com,1301420744,,
laramasserestaurant1,La Ramasse Restaurant,laramasserestaurant1@gmail.com,-1447423565,,
gited'etapeletoet1,Gite D'etape le Toet,gited'etapeletoet1@gmail.com,588080305,,
harvestmarket1,Harvest Market,harvestmarket1@gmail.com,1241934103,,
laiteriecolbayard1,Laiterie Col Bayard,laiteriecolbayard1@gmail.com,1272976011,,
letempsdesmets1,Le Temps Des Mets,letempsdesmets1@gmail.com,-212373062,,
aubergedestounes1,Auberge des Tounes,aubergedestounes1@gmail.com,-1191542866,,
pizzalescolonnes.1,Pizza Les colonnes.,pizzalescolonnes.1@gmail.com,-1248592201,,
leschenets1,Les Chenets,leschenets1@gmail.com,-2016877134,,
l'aubergedemarie1,L'Auberge de Marie,l'aubergedemarie1@gmail.com,1415465684,,
lemaquisetlelys1,Le Maquis et le Lys,lemaquisetlelys1@gmail.com,-498155202,,
lafleurdelys1,La Fleur de Lys,lafleurdelys1@gmail.com,-1278231485,,
lebistrodelagrève1,Le Bistro de la Grève,lebistrodelagrève1@gmail.com,-1075868856,,
chezcloclo1,Chez Cloclo,chezcloclo1@gmail.com,1300081263,,
augalichon1,Au Galichon,augalichon1@gmail.com,-416826980,,
prestoresto1,Presto Resto,prestoresto1@gmail.com,-1275466750,,
lemassilia1,Le Massilia,lemassilia1@gmail.com,528022671,,
kebabespaly1,Kebab Espaly,kebabespaly1@gmail.com,390329596,,
l'ermitage1,L'Ermitage,l'ermitage1@gmail.com,701078742,,
lesorguesd'espaly1,Les Orgues d'Espaly,lesorguesd'espaly1@gmail.com,328424952,,
wafu1,Wafu,wafu1@gmail.com,2106705948,,
l'imprevu1,L'imprevu,l'imprevu1@gmail.com,1072393399,,
lamaisondupoulet1,La Maison du Poulet,lamaisondupoulet1@gmail.com,-2044549100,,
littletokyo1,Little Tokyo,littletokyo1@gmail.com,-354562586,,
