username,restaurant_name,email,restaurant_owner,address,opening_hours,price,cooking_type,contact,menu,specialdiet,password,ratings
le1471,Le 147,le1471@gmail.com,Charles Worrell,"10 Maison Neuve, 87510 Saint-Jouvent France",17:00-23:00,€,French,073203343,"Califlower penne, Chilli con carne, Ebiten maki, Pizza, ",,1215894998,
lesaintjouvent1,Le Saint Jouvent,lesaintjouvent1@gmail.com,Christopher Gerena,"16 Place de l Eglise, 87510 Saint-Jouvent France",17:00-23:00,€,,078466097,"Tuna sashimi, Salmon nigiri, Cheeseburger, Linguine with clams, ",,-1248087181,
auboutdupont1,Au Bout du Pont,auboutdupont1@gmail.com,Billy Blanks,"2 rue des Dames, 36800 Rivarennes France",17:00-23:00,€,"French, European",071236018,"Chicken wings, Souvlaki, Pizza, California maki, ",,-1183797000,
lerelaisdenaiade1,Le Relais de Naiade,lerelaisdenaiade1@gmail.com,Marcos Lei,"9 avenue Porte de la Correze 19170, 19170 Lacelle France",17:00-23:00,€,French,074628947,"Pork belly buns, Pork belly buns, Califlower penne, Ebiten maki, ",,1243390638,
relaisdumontseigne1,Relais Du MontSeigne,relaisdumontseigne1@gmail.com,Robin Jones,"route du Montseigne, 12620 Saint-Laurent-de-Levezou France",17:00-23:00,€€-€€€,French,078804200,"Barbecue Ribs, Caprese Salad, Fettuccine Alfredo, Meatballs with sauce, ",,-417367754,
l'aubergeduvieuxcrozet1,L'Auberge Du Vieux Crozet,l'aubergeduvieuxcrozet1@gmail.com,Steve Griffin,"59 place du Puits ancienne adresse le Bourg renommée 59 place du Puits, 42310 Le Crozet, Roanne France",17:00-23:00,€€-€€€,French,072131399,"Pasta and Beans, California maki, Caprese Salad, Caprese Salad, ",,-414034289,
caferestaurantnoulou1,Cafe Restaurant NouLou,caferestaurantnoulou1@gmail.com,Vaughn Sessoms,"Place de l'Église, 30500 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",076864173,"Lasagne, Caprese Salad, Chicken Fajitas, Scotch eggs, ",,530916264,
l'entre21,L'entre 2,l'entre21@gmail.com,James Frazier,"4 route de Saissac, 11310 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",073757133,"Bruschette with Tomato, Barbecue Ribs, Pasta and Beans, Pasta Carbonara, ",Vegetarian Friendly,-1389327055,
nostecourtiu1,Noste Courtiu,nostecourtiu1@gmail.com,Katherine Johnson,"route des Pyrenees, 09800 Orgibet France",17:00-23:00,€€-€€€,"French, Cafe, Deli, Contemporary, Gastropub",073130094,"Califlower penne, Katsu Curry, Lasagne, Chicken wings, ",,2052272149,
chezclaudine1,Chez Claudine,chezclaudine1@gmail.com,David Carder,"136 rue de la Petite They, 88800 They-sous-Montfort France",17:00-23:00,€€-€€€,"French, European, Wine Bar",071932511,"Tiramisù, Caesar Salad, Meatballs with sauce, California maki, ",,616024563,
lepetitcampagnard1,Le Petit Campagnard,lepetitcampagnard1@gmail.com,Sheila Baker,"11 rue de l Eglise, 01250 Journans France",17:00-23:00,€€-€€€,French,078153725,"Califlower penne, Pappardelle alla Bolognese, Pappardelle alla Bolognese, Pasta with Tomato and Basil, ",,-411797824,
chezjiji1,Chez Jiji,chezjiji1@gmail.com,Michael Harris,"quartier Fray Redon, 83136 Rocbaron France",17:00-23:00,€,"French, Fast food",074376208,"Fettuccine Alfredo, Barbecue Ribs, Lasagne, Pasta and Beans, ",,-415937967,
angkor1,Angkor,angkor1@gmail.com,Lucille Allen,"Lieu-dit Fray Redon Zac Du Frey Redon, 83136 Rocbaron France",17:00-23:00,,"Chinese, Japanese",076080947,"French fries with sausages, Scotch eggs, Califlower penne, Meatballs with sauce, ",,-1162680783,
l'original's1,L'Original'S,l'original's1@gmail.com,Louise Worthington,"Zac Fray Redon, 83136 Rocbaron France",17:00-23:00,,"French, American, German",077620469,"Salmon nigiri, Lasagne, Fish and chips, Ricotta stuffed Ravioli, ",,1390444283,
l'improrestaurant1,L'Impro Restaurant,l'improrestaurant1@gmail.com,Kathleen Fullmer,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"French, International",078738763,"Pizza, Scotch eggs, Lasagne, Scotch eggs, ",,470999835,
pietrafocirocbaron1,Pietra Foci Rocbaron,pietrafocirocbaron1@gmail.com,Inez Schaus,"Zac De Fray De Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,Pizza,072355822,"Chilli con carne, Pork belly buns, Salmon nigiri, Chilli con carne, ",,614949209,
tiptoppizza1,Tip top pizza,tiptoppizza1@gmail.com,Jane Miller,"2 Zac de Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"Italian, French, Pizza",073123467,"Ebiten maki, Bruschette with Tomato, Tiramisù, Pasta Carbonara, ",,-2078273747,
l'antidote1,L'Antidote,l'antidote1@gmail.com,Luis Hull,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,French,071067166,"French fries with sausages, Souvlaki, Tuna sashimi, Souvlaki, ",,-1306773188,
