username,restaurantname,firstname,lastname,email,password
william1,,William,Cordes,william1@gmail.com,-1069493583
kenneth1,,Kenneth,Williams,kenneth1@gmail.com,-331028688
michael1,,Michael,Perez,michael1@gmail.com,472760420
donald1,,Donald,Porter,donald1@gmail.com,1385822648
james1,,James,Tucker,james1@gmail.com,-556136422
felicia1,,Felicia,Cunningham,felicia1@gmail.com,1300466570
clarence1,,Clarence,Barber,clarence1@gmail.com,-1988275857
ernest1,,Ernest,Cohen,ernest1@gmail.com,-2129547604
ronald1,,Ronald,Hall,ronald1@gmail.com,-1357748719
robin1,,Robin,Mendoza,robin1@gmail.com,2134802948
gary1,,Gary,Harris,gary1@gmail.com,-1302127588
joseph1,,Joseph,Snow,joseph1@gmail.com,-387189556
isabel1,,Isabel,Noriega,isabel1@gmail.com,-1188898046
frances1,,Frances,Rowland,frances1@gmail.com,1242793324
jamie1,,Jamie,Williams,jamie1@gmail.com,561330961
lettie1,,Lettie,Williams,lettie1@gmail.com,-388732646
sue1,,Sue,Inabinet,sue1@gmail.com,584718842
arlen1,,Arlen,Hicks,arlen1@gmail.com,702863377
adrienne1,,Adrienne,Mccants,adrienne1@gmail.com,-1993844823
eileen1,,Eileen,Hansel,eileen1@gmail.com,2101435045
terry1,,Terry,Orellana,terry1@gmail.com,-1415041675
leon1,,Leon,Corcoran,leon1@gmail.com,-1214604918
lawrence1,,Lawrence,Lewis,lawrence1@gmail.com,-383705933
ryan1,,Ryan,Whitehurst,ryan1@gmail.com,1306398811
janet1,,Janet,Thomas,janet1@gmail.com,-158926768
dennis1,,Dennis,Fidler,dennis1@gmail.com,1214824111
david1,,David,Ellis,david1@gmail.com,-1333825619
dianna1,,Dianna,Gibson,dianna1@gmail.com,590224599
eleanor1,,Eleanor,Anger,eleanor1@gmail.com,-2075324537
charles1,,Charles,Rios,charles1@gmail.com,1103756655
joseph1,,Joseph,Foreman,joseph1@gmail.com,676026493
ashley1,,Ashley,Bump,ashley1@gmail.com,-411345349
stephanie1,,Stephanie,Rozar,stephanie1@gmail.com,2047810377
carol1,,Carol,Elmore,carol1@gmail.com,1273719926
monica1,,Monica,Stewart,monica1@gmail.com,477169272
david1,,David,Gralak,david1@gmail.com,2105960433
wallace1,,Wallace,Winston,wallace1@gmail.com,-2017770067
lynelle1,,Lynelle,Washington,lynelle1@gmail.com,-1163688098
wayne1,,Wayne,Stephenson,wayne1@gmail.com,-533251142
reginald1,,Reginald,Reeder,reginald1@gmail.com,-524939453
lauren1,,Lauren,Hall,lauren1@gmail.com,-1103724558
lincoln1,,Lincoln,Prosper,lincoln1@gmail.com,-1218537296
john1,,John,Blake,john1@gmail.com,-302166008
denise1,,Denise,Turner,denise1@gmail.com,1127774926
david1,,David,Carter,david1@gmail.com,-2015148425
jerry1,,Jerry,Petersen,jerry1@gmail.com,2134892572
janice1,,Janice,Cantara,janice1@gmail.com,-1211918706
andrew1,,Andrew,Graham,andrew1@gmail.com,534487129
bernice1,,Bernice,Kern,bernice1@gmail.com,1242676086
sarah1,,Sarah,Hodges,sarah1@gmail.com,-1418045796
kathy1,,Kathy,Oliver,kathy1@gmail.com,730508308
stephen1,,Stephen,Barth,stephen1@gmail.com,502316002
elisa1,,Elisa,Boyles,elisa1@gmail.com,561984405
terri1,,Terri,Carver,terri1@gmail.com,1962842418
benjamin1,,Benjamin,Sampson,benjamin1@gmail.com,1299135791
catina1,,Catina,Davis,catina1@gmail.com,-1241418678
ryan1,,Ryan,Belisle,ryan1@gmail.com,-275175242
jason1,,Jason,Badgett,jason1@gmail.com,-1273440063
victoria1,,Victoria,Luker,victoria1@gmail.com,-2133301487
jovita1,,Jovita,King,jovita1@gmail.com,1301576336
brittany1,,Brittany,Carroll,brittany1@gmail.com,-1220233334
shirley1,,Shirley,Imai,shirley1@gmail.com,-330469233
phil1,,Phil,Shuler,phil1@gmail.com,-1185172247
gloria1,,Gloria,Lenz,gloria1@gmail.com,584143115
john1,,John,Samora,john1@gmail.com,-2136035588
mary1,,Mary,Dimuzio,mary1@gmail.com,1420020822
robert1,,Robert,West,robert1@gmail.com,-411171281
evelyn1,,Evelyn,Porter,evelyn1@gmail.com,-1930990619
richard1,,Richard,Jemison,richard1@gmail.com,-1216364297
sandra1,,Sandra,Ochs,sandra1@gmail.com,1131524500
