username,restaurant_name,email,restaurant_owner,address,opening_hours,price,cooking_type,contact,menu,specialdiet,password,ratings
le1471,Le 147,le1471@gmail.com,Alice Lopez,"10 Maison Neuve, 87510 Saint-Jouvent France",17:00-23:00,€,French,074500287,"Chilli con carne, Salmon nigiri, Pasta Carbonara, Bruschette with Tomato, ",,2567467309483689233,
lesaintjouvent1,Le Saint Jouvent,lesaintjouvent1@gmail.com,Frank Greenwood,"16 Place de l Eglise, 87510 Saint-Jouvent France",17:00-23:00,€,,071714116,"Linguine with clams, Fish and chips, Pizza, Scotch eggs, ",,-1204980101440013771,
auboutdupont1,Au Bout du Pont,auboutdupont1@gmail.com,Brian Jordon,"2 rue des Dames, 36800 Rivarennes France",17:00-23:00,€,"French, European",077427405,"Cheeseburger, Chicken Fajitas, Pappardelle alla Bolognese, Pasta with Tomato and Basil, ",,-1058161421480186740,
lerelaisdenaiade1,Le Relais de Naiade,lerelaisdenaiade1@gmail.com,Henry Davis,"9 avenue Porte de la Correze 19170, 19170 Lacelle France",17:00-23:00,€,French,075331967,"Chicken milanese, Mushroom Risotto, Pappardelle alla Bolognese, Chicken Fajitas, ",,-6593827599554015791,
relaisdumontseigne1,Relais Du MontSeigne,relaisdumontseigne1@gmail.com,John West,"route du Montseigne, 12620 Saint-Laurent-de-Levezou France",17:00-23:00,€€-€€€,French,076604659,"Pork sausage roll, Tuna sashimi, Bruschette with Tomato, Vegetable Soup, ",,-809948483686740210,
l'aubergeduvieuxcrozet1,L'Auberge Du Vieux Crozet,l'aubergeduvieuxcrozet1@gmail.com,Mildred Abney,"59 place du Puits ancienne adresse le Bourg renommée 59 place du Puits, 42310 Le Crozet, Roanne France",17:00-23:00,€€-€€€,French,071873222,"Cheeseburger, Lasagne, Cheeseburger, Caesar Salad, ",,-3313499490946026790,
caferestaurantnoulou1,Cafe Restaurant NouLou,caferestaurantnoulou1@gmail.com,Catherine Julius,"Place de l'Église, 30500 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",079607296,"Vegetable Soup, Caprese Salad, Fish and chips, Fettuccine Alfredo, ",,-109265321209384278,
l'entre21,L'entre 2,l'entre21@gmail.com,Tammy Wright,"4 route de Saissac, 11310 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",070174004,"Souvlaki, Fish and chips, Mushroom Risotto, Califlower penne, ",Vegetarian Friendly,-9117121385098161529,
nostecourtiu1,Noste Courtiu,nostecourtiu1@gmail.com,Mark Mortensen,"route des Pyrenees, 09800 Orgibet France",17:00-23:00,€€-€€€,"French, Cafe, Deli, Contemporary, Gastropub",071386894,"Ricotta stuffed Ravioli, Souvlaki, Risotto with seafood, Caesar Salad, ",,3720801036470136171,
chezclaudine1,Chez Claudine,chezclaudine1@gmail.com,Lori Coleman,"136 rue de la Petite They, 88800 They-sous-Montfort France",17:00-23:00,€€-€€€,"French, European, Wine Bar",072671580,"Pasta with Tomato and Basil, French fries with sausages, Mushroom Risotto, Linguine with clams, ",,9146565671591609087,
lepetitcampagnard1,Le Petit Campagnard,lepetitcampagnard1@gmail.com,Joseph Fink,"11 rue de l Eglise, 01250 Journans France",17:00-23:00,€€-€€€,French,072625912,"Philadelphia maki, Pasta with Tomato and Basil, Katsu Curry, Cheeseburger, ",,-5810101608012351021,
chezjiji1,Chez Jiji,chezjiji1@gmail.com,Michael Mannino,"quartier Fray Redon, 83136 Rocbaron France",17:00-23:00,€,"French, Fast food",075370281,"Tuna sashimi, Caprese Salad, Katsu Curry, Chicken Fajitas, ",,-3655705823210723882,
angkor1,Angkor,angkor1@gmail.com,Lynda Williams,"Lieu-dit Fray Redon Zac Du Frey Redon, 83136 Rocbaron France",17:00-23:00,,"Chinese, Japanese",076211004,"Meatballs with sauce, Philadelphia maki, Tuna sashimi, Pasta and Beans, ",,8295034929605567425,
l'original's1,L'Original'S,l'original's1@gmail.com,John Tolbert,"Zac Fray Redon, 83136 Rocbaron France",17:00-23:00,,"French, American, German",074879788,"Caesar Salad, Souvlaki, Califlower penne, Ebiten maki, ",,8654008606926550092,
l'improrestaurant1,L'Impro Restaurant,l'improrestaurant1@gmail.com,Jeanette Cowan,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"French, International",078357424,"Fish and chips, Califlower penne, Pasta and Beans, Fish and chips, ",,2808288583414779692,
pietrafocirocbaron1,Pietra Foci Rocbaron,pietrafocirocbaron1@gmail.com,Elizabeth Snyder,"Zac De Fray De Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,Pizza,074018391,"Katsu Curry, Pasta and Beans, Cheeseburger, Bruschette with Tomato, ",,-4698977909421460728,
tiptoppizza1,Tip top pizza,tiptoppizza1@gmail.com,James Robb,"2 Zac de Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"Italian, French, Pizza",072017465,"Mushroom Risotto, Pappardelle alla Bolognese, Pasta with Tomato and Basil, Chicken Fajitas, ",,700505027936654279,
l'antidote1,L'Antidote,l'antidote1@gmail.com,Roberto Uccio,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,French,073520109,"Chilli con carne, Meatballs with sauce, Fettuccine Alfredo, Califlower penne, ",,-5634033346380142080,
laterrasse1,La terrasse,laterrasse1@gmail.com,William Robinson,"10 rue des Faysonnes, 83136 Rocbaron France",17:00-23:00,€€-€€€,"French, Pizza, Italian",077381151,"Caprese Salad, French fries with sausages, Katsu Curry, Lasagne, ",,7087708007599502227,
