username,restaurant_name,email,restaurant_owner,address,opening_hours,price,cooking_type,contact,menu,specialdiet,password,ratings
le1471,Le 147,le1471@gmail.com,Carol Nguyen,"10 Maison Neuve, 87510 Saint-Jouvent France",17:00-23:00,€,French,072841230,"Bruschette with Tomato, Pork sausage roll, Katsu Curry, Chicken Fajitas, ",,7794569,
lesaintjouvent1,Le Saint Jouvent,lesaintjouvent1@gmail.com,Kathy Sundberg,"16 Place de l Eglise, 87510 Saint-Jouvent France",17:00-23:00,€,,073568901,"Pasta with Tomato and Basil, French fries with sausages, Pasta with Tomato and Basil, Lasagne, ",,9296477,
auboutdupont1,Au Bout du Pont,auboutdupont1@gmail.com,Nellie Mitchell,"2 rue des Dames, 36800 Rivarennes France",17:00-23:00,€,"French, European",070421600,"Pizza, Linguine with clams, Bruschette with Tomato, Pappardelle alla Bolognese, ",,9934257,
lerelaisdenaiade1,Le Relais de Naiade,lerelaisdenaiade1@gmail.com,Donna Lee,"9 avenue Porte de la Correze 19170, 19170 Lacelle France",17:00-23:00,€,French,076625444,"Pizza, Philadelphia maki, Risotto with seafood, Bruschette with Tomato, ",,3194154,
relaisdumontseigne1,Relais Du MontSeigne,relaisdumontseigne1@gmail.com,Bonnie Regnier,"route du Montseigne, 12620 Saint-Laurent-de-Levezou France",17:00-23:00,€€-€€€,French,070815677,"Katsu Curry, Caprese Salad, Ebiten maki, Califlower penne, ",,0548692,
l'aubergeduvieuxcrozet1,L'Auberge Du Vieux Crozet,l'aubergeduvieuxcrozet1@gmail.com,Kenneth Papineau,"59 place du Puits ancienne adresse le Bourg renommée 59 place du Puits, 42310 Le Crozet, Roanne France",17:00-23:00,€€-€€€,French,070629139,"Califlower penne, Lasagne, Chicken milanese, Salmon nigiri, ",,0278357,
caferestaurantnoulou1,Cafe Restaurant NouLou,caferestaurantnoulou1@gmail.com,Brenda Green,"Place de l'Église, 30500 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",079476854,"Vegetable Soup, Mushroom Risotto, Fettuccine Alfredo, Pork belly buns, ",,6700796,
l'entre21,L'entre 2,l'entre21@gmail.com,Marion Casares,"4 route de Saissac, 11310 Saint-Denis France",17:00-23:00,€€-€€€,"French, European",075797748,"Caprese Salad, Tiramisù, Fish and chips, Meatballs with sauce, ",Vegetarian Friendly,0272114,
nostecourtiu1,Noste Courtiu,nostecourtiu1@gmail.com,Ty Ledoux,"route des Pyrenees, 09800 Orgibet France",17:00-23:00,€€-€€€,"French, Cafe, Deli, Contemporary, Gastropub",077788651,"Pork belly buns, Pasta and Beans, Chilli con carne, Katsu Curry, ",,1929274,
chezclaudine1,Chez Claudine,chezclaudine1@gmail.com,Micheal Owens,"136 rue de la Petite They, 88800 They-sous-Montfort France",17:00-23:00,€€-€€€,"French, European, Wine Bar",079843013,"Pork sausage roll, Caprese Salad, Ebiten maki, Philadelphia maki, ",,6410263,
lepetitcampagnard1,Le Petit Campagnard,lepetitcampagnard1@gmail.com,Alicia Alessandroni,"11 rue de l Eglise, 01250 Journans France",17:00-23:00,€€-€€€,French,074714419,"Bruschette with Tomato, Scotch eggs, Pasta and Beans, Meatballs with sauce, ",,3634850,
chezjiji1,Chez Jiji,chezjiji1@gmail.com,Stanley Ohl,"quartier Fray Redon, 83136 Rocbaron France",17:00-23:00,€,"French, Fast food",070327041,"California maki, Lasagne, Pork sausage roll, Caesar Salad, ",,4264959,
angkor1,Angkor,angkor1@gmail.com,Ruby Floyd,"Lieu-dit Fray Redon Zac Du Frey Redon, 83136 Rocbaron France",17:00-23:00,,"Chinese, Japanese",077568011,"Chicken milanese, Ebiten maki, Tiramisù, Cheeseburger, ",,1466310,
l'original's1,L'Original'S,l'original's1@gmail.com,Humberto Seide,"Zac Fray Redon, 83136 Rocbaron France",17:00-23:00,,"French, American, German",075336607,"Barbecue Ribs, Tuna sashimi, Lasagne, Pork belly buns, ",,0871873,
l'improrestaurant1,L'Impro Restaurant,l'improrestaurant1@gmail.com,Christopher Chavez,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"French, International",077036895,"Pizza, Caprese Salad, Pork belly buns, Ebiten maki, ",,3503536,
pietrafocirocbaron1,Pietra Foci Rocbaron,pietrafocirocbaron1@gmail.com,Deshawn Boyd,"Zac De Fray De Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,Pizza,077356636,"Chicken Fajitas, Fettuccine Alfredo, Ricotta stuffed Ravioli, Pork belly buns, ",,9488556,
tiptoppizza1,Tip top pizza,tiptoppizza1@gmail.com,Eli Hamff,"2 Zac de Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"Italian, French, Pizza",071292414,"Fish and chips, Bruschette with Tomato, Chilli con carne, Pappardelle alla Bolognese, ",,3449226,
