username,restaurantname,firstname,lastname,email,password
frank1,,Frank,Watson,frank1@gmail.com,3260269
roy1,,Roy,Cox,roy1@gmail.com,1932423
dana1,,Dana,Belanger,dana1@gmail.com,0995512
thomas1,,Thomas,Lozano,thomas1@gmail.com,5976535
katherine1,,Katherine,Landis,katherine1@gmail.com,1431079
belinda1,,Belinda,Mcmillan,belinda1@gmail.com,4993582
david1,,David,Holt,david1@gmail.com,4339197
jorge1,,Jorge,Jimenez,jorge1@gmail.com,4327899
jose1,,Jose,Garcia,jose1@gmail.com,4052675
jon1,,Jon,Jurist,jon1@gmail.com,5450904
patricia1,,Patricia,Koenitzer,patricia1@gmail.com,1839912
ryan1,,Ryan,Albanese,ryan1@gmail.com,9625531
christopher1,,Christopher,Smith,christopher1@gmail.com,2770663
omar1,,Omar,Post,omar1@gmail.com,0809335
phyllis1,,Phyllis,Walker,phyllis1@gmail.com,9788949
albert1,,Albert,Mullins,albert1@gmail.com,5644235
howard1,,Howard,Kevan,howard1@gmail.com,3602342
patricia1,,Patricia,Johnson,patricia1@gmail.com,9331381
michelle1,,Michelle,Harrison,michelle1@gmail.com,8450946
victoria1,,Victoria,Frazier,victoria1@gmail.com,1799816
alexandria1,,Alexandria,Keen,alexandria1@gmail.com,7203629
bryan1,,Bryan,Stein,bryan1@gmail.com,7946657
mark1,,Mark,Williams,mark1@gmail.com,7528300
mary1,,Mary,Koprowski,mary1@gmail.com,5105173
daisy1,,Daisy,Scott,daisy1@gmail.com,1027963
alvin1,,Alvin,Shives,alvin1@gmail.com,6296848
norma1,,Norma,Magallanes,norma1@gmail.com,4032229
john1,,John,Harmon,john1@gmail.com,0160709
dorothy1,,Dorothy,Schoeneck,dorothy1@gmail.com,9736753
john1,,John,Moore,john1@gmail.com,8230971
rosamaria1,,Rosamaria,Cowart,rosamaria1@gmail.com,3782083
margie1,,Margie,Shultz,margie1@gmail.com,5901122
julie1,,Julie,Mayhew,julie1@gmail.com,4901602
ruby1,,Ruby,Hernandez,ruby1@gmail.com,9062720
delmar1,,Delmar,Thomas,delmar1@gmail.com,2855615
caleb1,,Caleb,Jones,caleb1@gmail.com,8646738
keith1,,Keith,Lenhart,keith1@gmail.com,9893819
henry1,,Henry,Adams,henry1@gmail.com,9941514
maurice1,,Maurice,Mitchell,maurice1@gmail.com,9576077
emory1,,Emory,Monroy,emory1@gmail.com,3164220
dawn1,,Dawn,Lopez,dawn1@gmail.com,3324148
thomas1,,Thomas,Mendez,thomas1@gmail.com,7345845
dorothy1,,Dorothy,Tuttle,dorothy1@gmail.com,5041209
aaron1,,Aaron,Miller,aaron1@gmail.com,3629590
corrine1,,Corrine,Fleming,corrine1@gmail.com,9458628
mary1,,Mary,Emig,mary1@gmail.com,7019454
geraldine1,,Geraldine,Thomas,geraldine1@gmail.com,4353608
gregory1,,Gregory,Poston,gregory1@gmail.com,1234388
patricia1,,Patricia,Lindeland,patricia1@gmail.com,4381667
walter1,,Walter,Wallin,walter1@gmail.com,9320016
ray1,,Ray,Gonzalez,ray1@gmail.com,2048544
teresa1,,Teresa,Gause,teresa1@gmail.com,4752095
latoya1,,Latoya,Nielsen,latoya1@gmail.com,8029372
garrett1,,Garrett,Sullivan,garrett1@gmail.com,9320275
steve1,,Steve,Blair,steve1@gmail.com,2397950
susannah1,,Susannah,Valles,susannah1@gmail.com,5752959
gloria1,,Gloria,Ruffin,gloria1@gmail.com,6895512
marquetta1,,Marquetta,Connor,marquetta1@gmail.com,2598468
dorothy1,,Dorothy,Barton,dorothy1@gmail.com,1324294
karen1,,Karen,Cantu,karen1@gmail.com,6646390
brittney1,,Brittney,Bower,brittney1@gmail.com,9897351
marion1,,Marion,Perez,marion1@gmail.com,6188806
willie1,,Willie,Walker,willie1@gmail.com,2563746
alexander1,,Alexander,Martin,alexander1@gmail.com,3090380
mitzi1,,Mitzi,Mcnitt,mitzi1@gmail.com,0319813
